"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f328",-0.0568986949668933,14.5746772218889,-5.14397405511847,0.000146716469310169,0.000512900659556532,0.285003625204165
"f2682",0.167772560454585,10.3595776957124,5.14275222987121,0.000147047075276295,0.000513752776290185,0.282681089948252
"f1527",-0.0726610559053391,11.9329360451289,-5.13225690789907,0.000149918997720448,0.000523477492040409,0.262723689485991
"f169",0.063929514214415,14.1698922429848,5.13030878187036,0.000150458456476629,0.000525051191775373,0.259017824890735
"f378",0.112233375308206,13.4018263974481,5.12752735342052,0.000151232161597524,0.000527439997552684,0.25372603347542
"f516",0.073938415491801,14.5349350767757,5.12663813885478,0.000151480383314444,0.00052799438261929,0.252034074884943
"f1054",-0.122694548484613,12.5067213470474,-5.12442692950201,0.00015209947148914,0.000529840031718647,0.247826287162048
"f1090",-0.0837603834720291,13.7397510667888,-5.12386781396832,0.000152256426756063,0.00053007461110189,0.24676223736277
"f2319",0.090787780478589,11.5554526895262,5.12233785467328,0.000152686778063714,0.000531260171909921,0.243850395846772
"f1635",0.0674362010610619,11.9065019717812,5.12200587914338,0.000152780323699709,0.000531273142083351,0.24321853943359
"f5163",0.229572659256933,8.00423548328598,5.12062393857207,0.000153170373256483,0.000532316543955402,0.240588124838626
"f1922",0.0552589994786405,12.2754667698462,5.11800473199795,0.000153912477269385,0.000534581505019621,0.235602069217886
"f274",-0.123006239109355,15.0181654321627,-5.10832381043301,0.000156687938168813,0.000543902085838339,0.217166130071496
"f3378",0.130464122892572,10.4232789935374,5.10584160284064,0.000157407905464572,0.000546080798136625,0.212437386678501
"f4975",0.107538257781069,9.87084564996164,5.10417435869288,0.000157893418662789,0.000547444062948649,0.209260797704995
"f1974",-0.0886084726461309,13.1718273750684,-5.10188789984977,0.000158561780280187,0.000549439326512775,0.204903905789766
"f5898",0.179580526329358,8.60491191564282,5.1000674458563,0.000159096021982862,0.000550967781047208,0.201434567585568
"f3998",-0.115097094148865,10.0088935915859,-5.09418618384577,0.000160834776442196,0.000556663371945927,0.190223738851468
"f6603",-0.236527329666562,7.95290414071056,-5.08807983199457,0.000162660956567144,0.000562654712336055,0.178579669651195
"f1590",-0.136616455412476,10.7629393628043,-5.08642089044798,0.000163160791196975,0.000564053816440742,0.175415536513902
"f1263",0.094057578671336,12.46629541973,5.085297577981,0.000163500147010374,0.000564896828017733,0.173272841858802
"f69",-0.0663138872263414,13.6482561088122,-5.08246077364683,0.000164360417806302,0.000567537578122752,0.167861059142599
"f1257",0.0793759811777619,13.9609569853407,5.07574147112763,0.000166416859532396,0.000574303222948731,0.155038973121333
"f1354",0.0765299097931322,13.5583184911029,5.07002632400808,0.000168186985784988,0.000580073481584959,0.144129034799398
"f1211",0.0559136968697711,12.9002442442366,5.06831817611452,0.000168719825807609,0.000581448015473511,0.140867545822559
"f6232",-0.164465501481194,9.58245445438169,-5.068118840982,0.000168782120467966,0.000581448015473511,0.140486919494591
"f1386",-0.117155518660672,12.5746075268038,-5.05946988541796,0.000171508133125193,0.000590495114921722,0.123967595456131
"f1081",-0.0805378551849518,14.5712530557993,-5.05759780807607,0.000172104171694913,0.000592202545419088,0.12039085609521
"f1119",0.102889044547402,13.8619035918591,5.05717799405384,0.000172238128276621,0.000592318912067565,0.119588716803868
"f2229",-0.0621877996367015,12.4807325410955,-5.05589067520902,0.000172649567832522,0.000593291942072595,0.117128911000557
"f4157",-0.0992263448965236,10.6990199349086,-5.0556653841061,0.000172721677810483,0.000593291942072595,0.11669840611265
"f6160",0.28847905522298,6.8881587714518,5.05371989063418,0.000173345682294008,0.00059508979150845,0.112980558533169
"f2210",-0.0841932455352783,9.66111532855261,-5.0487518977484,0.000174949766842689,0.00060024818496201,0.103484768959651
"f6214",-0.261941126506134,8.15832513883252,-5.04739894576415,0.000175389275146407,0.00060123502842413,0.100898264994801
"f4540",0.11225400081377,9.28153533400902,5.04724091521389,0.000175440686231623,0.00060123502842413,0.100596136923873
"f996",-0.0893982951843952,12.7683589589658,-5.04612982979389,0.000175802590234206,0.000601816054741315,0.0984718476999271
"f5170",-0.178415551079608,8.71452208328191,-5.04609570360109,0.000175813718105324,0.000601816054741315,0.0984065994860659
"f3013",-0.068248145061192,13.8622699219655,-5.04460941495125,0.000176299076688801,0.00060312842025116,0.0955647353445528
"f3095",-0.0709560672574963,11.2304511963185,-5.04238600575267,0.000177027743490286,0.000605271157656093,0.0913129946614077
