"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f3669",0.0242261521156593,10.6011976526965,0.863436676200127,0.402374082556457,0.458541351141441,-7.52124345026391
"f6002",-0.0496817028472485,10.0631468043754,-0.863367466559662,0.402410849356814,0.458541351141441,-7.52130414791716
"f1437",-0.0158182564320946,12.5770303444788,-0.863358562538632,0.402415579674593,0.458541351141441,-7.52131195652869
"f2577",0.0300859805452127,12.9267142780112,0.860675635603985,0.403842586117407,0.460078755178055,-7.52366151922465
"f6945",-0.0280811974440329,8.68666783199725,-0.859330843433733,0.404559122867436,0.460806318459635,-7.52483673988324
"f5115",0.0343614449319514,9.3144376232856,0.857404568665868,0.405586955963826,0.461888110228346,-7.52651723895212
"f3852",-0.0300713358751974,8.33796106516155,-0.857099600429967,0.405749841307933,0.461984660507493,-7.52678298454017
"f4848",0.0332845371979165,9.19567954982683,0.856868998098446,0.405873036160828,0.46203599093366,-7.52698387205572
"f4558",-0.0802701234592114,8.0087105798782,-0.856254963497167,0.406201193163836,0.462320580635769,-7.52751854631954
"f4517",0.0310289809847974,7.54246024225281,0.854521825879635,0.407128377370035,0.463286716457052,-7.52902582321855
"f688",-0.0111058490856291,14.4675381845792,-0.853140259794367,0.407868482111756,0.464039636793814,-7.53022537349587
"f735",0.0147849842109853,12.4517533655668,0.849933125390291,0.409589969959621,0.465908590829069,-7.53300323314193
"f2511",-0.0236389540493835,10.1105790420488,-0.849424449389378,0.409863451010506,0.466130035133079,-7.53344295572104
"f3442",0.0239482588483799,11.7979909164952,0.847701878653547,0.410790456303219,0.467094492317098,-7.5349302594289
"f3197",-0.0132975518398126,10.42124894791,-0.844486038052538,0.412524761832803,0.468976353304061,-7.53769958819401
"f6011",0.132831691768895,4.64007063735083,0.842675048180285,0.413503546559788,0.469998746714286,-7.53925494109109
"f1867",-0.0304133684598824,9.69446444240063,-0.841504588240627,0.414136955335769,0.47062825952182,-7.5402585748842
"f5936",-0.0335810965216101,8.59282817289894,-0.841345718238491,0.414222978854099,0.470635597372646,-7.54039470387652
"f2736",0.0161531811401137,10.7147425698523,0.838006407033725,0.416033832428274,0.472602288998125,-7.54325063910885
"f4093",0.0312763883298723,7.85645404259614,0.837640640325692,0.416232496350781,0.472737176634959,-7.54356283555276
"f3521",0.0123006859859824,13.9676830293304,0.836611077251261,0.416792030586793,0.473281793227275,-7.54444094638792
"f1094",0.0297823789309213,8.91599317562051,0.835414095341644,0.417443169996594,0.473930201637208,-7.54546061924039
"f2003",0.0220088781515564,11.6841729412735,0.833434674554149,0.418521402444322,0.475063153993124,-7.54714392754748
"f6322",0.0318325073975174,10.7928274243171,0.832047717245403,0.419277990203525,0.475830643141567,-7.5483212470823
"f4891",-0.0423884340434357,6.38836809840926,-0.829067232528038,0.420906867165836,0.477587592420089,-7.55084522028313
"f1535",0.00827684757726921,13.2567427361382,0.828620539541379,0.421151345876998,0.47777334308831,-7.55122278713498
"f2458",-0.0154563201787088,10.8006193070055,-0.828155131675759,0.42140616571362,0.477970751715448,-7.55161597643279
"f5586",0.0376649622484813,8.01772825571024,0.827982414177949,0.421500757419958,0.477986384229113,-7.55176184193005
"f988",0.0094405013992418,12.5457194262692,0.827660069748619,0.421677331841852,0.478094962209039,-7.55203399838887
"f5695",0.0299520756057312,8.43745962244818,0.827476704882041,0.421777797256818,0.478117223222323,-7.55218877105531
"f4128",0.0423951405001715,7.34640656400539,0.826550228878013,0.42228565054406,0.478601192367908,-7.55297030537765
"f5290",-0.0621780456540373,7.85718843507358,-0.824176497544276,0.423588638631241,0.479967692325627,-7.55496905492986
"f4047",0.0251470561614582,11.4929831525688,0.824058192307486,0.423653646936957,0.479967692325627,-7.55506853481611
"f2584",-0.213434761443338,12.3554133251662,-0.823465235943134,0.423979571909906,0.480244957458272,-7.55556694151329
"f4349",0.0242116768536302,10.9172095476026,0.820134999846925,0.425813094101315,0.482229456559311,-7.55836010178732
"f2335",0.0120019114112413,11.3734620622026,0.81902780579647,0.426423815637857,0.482828650363308,-7.55928645784171
"f3785",-0.0350696454666677,7.9095648301714,-0.816256947548443,0.427954686503963,0.484469276683434,-7.56159976557611
"f4869",-0.0238418237563085,9.36970740901707,-0.814194020994091,0.429096734563933,0.485669189618382,-7.56331741169281
"f3816",0.0190667367441133,12.7686408247365,0.813950002474783,0.429231954532239,0.485729292339428,-7.56352032628613
"f2596",-0.0176869641637492,10.7680912910003,-0.812510419760917,0.430030241320801,0.48648975965604,-7.56471629058593
"f5980",-0.0164139865794954,9.48768829194402,-0.812441537932492,0.430068462086464,0.48648975965604,-7.56477346733951
"f2836",0.0278994470444971,10.3075433665953,0.811467921455121,0.430608931025914,0.487007997517835,-7.56558116535689
"f4022",-0.0175734326806474,10.7302742446854,-0.807786532770023,0.432656474209672,0.489230174909235,-7.56862721802798
"f99",-0.0108573249885637,16.4267344489015,-0.807205005951171,0.432980483356447,0.489464531777057,-7.56910723049555
"f259",0.00849099159133182,15.311680904734,0.807117540579712,0.433029229888307,0.489464531777057,-7.5691794002005
"f4502",0.104799820552202,8.90277950335311,0.802550280364863,0.435579565270822,0.492253177030362,-7.57293804400524
"f6673",0.0302936613497371,6.45609895378012,0.802169551888001,0.43579259548097,0.492399847616035,-7.57325048741317
