"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f253",-0.133284632817748,9.6278523822751,-3.15772447226698,0.0063273335979649,0.0146003895257716,-3.72246829024996
"f10285",0.228694099623265,9.50031689448004,3.15742211034302,0.00633129119954241,0.0146060720235016,-3.72308395975178
"f5180",0.10440318046078,11.5304425420129,3.15724840399914,0.00633356593921425,0.0146078704499819,-3.72343765503545
"f2616",0.116537058903523,8.43164959666362,3.15634092561593,0.00634546278084644,0.0146318554092211,-3.72528536618128
"f7672",-0.199089795333174,6.95525005367292,-3.15561699636793,0.0063549691504748,0.0146503182161724,-3.72675927306875
"f621",-0.184701930696404,12.0770323954176,-3.15537881196717,0.00635809997221493,0.0146534760775105,-3.72724419647898
"f587",0.393441574394572,10.5314576314974,3.15528460902068,0.00635933864571592,0.0146534760775105,-3.72743598360532
"f10104",0.114654926710239,8.96384692507623,3.1545747208559,0.00636868062188219,0.0146715420126831,-3.72888120076998
"f7523",0.172453957705944,7.92094887592436,3.15302366292565,0.00638913937286168,0.0147152031289153,-3.73203866179372
"f2088",-0.429265553520137,10.0092850480126,-3.15227655003701,0.00639901707103686,0.0147344795625808,-3.73355942783792
"f8153",-0.186766134518225,8.9517172577873,-3.15132617130222,0.00641160396411693,0.0147594849962932,-3.73549383492706
"f6737",-0.214701852963554,9.59876137975205,-3.15122856628748,0.00641289803574867,0.0147594849962932,-3.73569249374067
"f4340",-0.117259257670359,8.17839643471089,-3.14985367392813,0.00643115411595083,0.0147980159474422,-3.73849071887799
"f448",-0.209403320901546,6.9893438646956,-3.14967874108516,0.00643348058243558,0.0147998835155158,-3.73884672903949
"f1756",0.152936909011671,7.11478501375969,3.14730256138257,0.00646516425262045,0.0148692690084985,-3.7436821302692
"f2940",0.105435040910992,7.96327465336832,3.14681810359429,0.00647164282213923,0.0148806661266887,-3.74466788009662
"f3575",-0.174631692829237,9.85420026591371,-3.14604510010281,0.00648199333162097,0.0149009587882204,-3.74624068015543
"f6181",0.243078833974333,5.77358131469862,3.14563490105433,0.00648749252553929,0.0149100922076027,-3.74707526230418
"f10011",0.361423200679502,9.49485969014427,3.14481822809861,0.00649845468369949,0.0149317738146152,-3.74873677753493
"f493",0.120607630668095,7.90784481531584,3.14346342497843,0.00651668045871188,0.0149701312206948,-3.75149290894744
"f8874",0.121944225759568,6.86573123874332,3.14227949192532,0.00653264885699191,0.0150032861619208,-3.75390122179102
"f5284",-0.173275358918008,7.18675844103189,-3.14197410370689,0.00653677406621045,0.0150092321097241,-3.75452239929584
"f3248",0.14394815397034,12.6175291269865,3.14064553595291,0.0065547504003292,0.0150469716661692,-3.7572246312641
