"GFP1"	"GFP2"	"GFP3"	"GFP4"	"GFP5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"	"Fing1"	"Fing2"	"Fing3"	"Fing4"	"Fing5"
"f27"	8.52296440478966	8.500202294751	8.40902535375262	8.48034654235254	8.55699445385416	8.50118453681031	8.54332377856491	8.37208068829137	8.3379772995262	8.43652647867791	8.39562931828897	8.42930999296125	8.43863722470877	8.44663035019872	8.37248224869083
"f28"	7.70094830637089	7.52845133076791	7.58274945535099	7.63635244591732	7.61514146273119	7.84464622222835	7.87538161606382	7.73261007814332	7.93933046384694	7.92352038171311	7.95281298146137	8.05423890853461	7.96286655435829	8.09171321316895	8.09177699870035
"f29"	10.8406927872916	10.7888832783791	10.8138783911718	10.8734152529984	10.8108646333541	10.7777603946315	10.7803896468986	10.9169685552793	10.8009336722827	11.0304076505924	11.086587702632	10.9136029332156	10.8639695718584	10.9334884806747	10.99718307556
"f30"	9.82074746168462	9.95465843571944	9.73295264548119	9.718039289222	9.78520416414844	9.73046724608865	9.7191096252823	9.68430536130641	9.70469806364847	9.76360766717741	9.66476239514154	9.7832328487989	9.71914431563988	9.82609567537105	9.8605329589856
"f31"	9.80430967588187	9.89075794028531	9.85093584573091	9.87701349518451	9.8749335092042	9.69823007574731	9.77072295818915	9.76799364812605	9.7944233024896	9.76531728561145	9.75202852173925	9.71885472795622	9.74492367346493	9.70215978745597	9.68997478143676
"f32"	10.0971624425806	10.0966144195051	10.1068570659408	10.1091340827635	10.0926483027841	10.1404400354412	10.2175058974679	10.2029511789891	10.1486039727486	10.1707963510059	10.3360333107676	10.1976014240974	10.1679550320532	10.211923264632	10.1880129053077
"f33"	8.07828775829314	8.07520961391278	8.24429233238165	8.24435155154733	8.2104478052877	8.24765536840727	8.17242726633941	8.2793632937735	8.2862870663605	8.37171800312614	8.33925315491113	8.19260871755915	8.20887278237922	8.2866462600199	8.21277578279047
"f34"	10.0589664309525	9.92348179442194	10.0244790779381	9.96408401099705	10.0077876389438	9.83482945087194	9.87213007956357	9.95389925846187	9.83715935112845	10.0963253766094	9.86689081730916	9.75671419010118	9.7274637773203	9.85058295026351	9.82386791883264
"f35"	10.4521009046558	10.4130322428117	10.4273983815948	10.3918764876897	10.391317293582	10.1865462274526	10.2470492346672	10.1975414978083	10.2228426013722	10.44276066381	10.3635641116095	10.2738183037557	10.2399772418473	10.2635217232418	10.302329914925
"f36"	11.81893821742	11.7642469326799	11.7967300927797	11.7980888295273	11.8403355516244	11.6443300275155	11.6943545544294	11.7929854660883	11.7594772963782	11.8497819086392	11.9042793250153	11.766465290778	11.7378930589569	11.7620478843949	11.8195435791102
"f38"	8.7304095035909	8.86687622149856	8.98723411641066	9.1172823906024	8.9658157736666	8.73476433729971	8.99178596495185	9.38405997670594	8.97047668044686	9.3103656232361	9.30310722873008	9.10770780873433	9.03231485057672	9.13679366900481	9.26347165133248
"f39"	11.5844173013924	11.519374319407	11.6056414818349	11.5772317679231	11.6006059106193	11.5825663000626	11.593812260923	11.6998267864869	11.6151923333679	11.6559651398687	11.6841077365564	11.6216381483816	11.6262477760732	11.6200561716156	11.6464457338067
"f40"	12.2024182195351	12.0623485253089	12.2145807799293	12.1977173862973	12.1445085062954	12.1659003943205	12.1992015064349	12.2263793121281	12.1759223407151	12.3054528202253	12.3844844435608	12.2638944028476	12.1991037686363	12.2012005051243	12.2682097728854
"f41"	11.233474996786	11.1612104219876	11.2631583161109	11.3070787490828	11.2170416408286	11.417371301224	11.3770462971125	11.4527644221629	11.4158072881815	11.3770429839751	11.8452931423476	11.777267516988	11.6788393279485	11.6759143685291	11.7442495292832
"f42"	9.88484766495392	9.88868363681676	10.0599534049122	9.96871220665036	9.95530207725604	10.0557718768214	10.0117152413394	10.0553689039435	10.1118419562659	10.1237331289589	10.2732637733523	10.1890122202164	10.1745168778237	10.2190054628211	10.2026961934058
