index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1861	117.3	230.2	283.6	237.1	226.1	256.3
hp1862	949.4	1504	1805.2	1551.3	1462.4	1735.2
hp1863	408.4	879.2	1094.3	1080.9	722.8	988.7
hp1864	15.5	50.9	57.7	47.1	41.7	58.5
hp1865	608.5	1595.9	1964.3	1646	1403.2	1830.1
hp1866	327.7	727.7	841.2	729	625.7	843.1
hp1867	1141.2	551.1	429.2	820.3	451	330
hp1868	22.5	29	37.7	28.4	25.8	24.1
hp1869	14.7	33	56.3	44.2	36.1	40.3
hp1870	2701.9	4898.9	5934.5	5613.4	4339.6	5474
hp1871	1958.6	6131.1	6799.3	6037.5	4925.2	6606.3
hp1872	18.4	14.7	23.9	20.5	21.4	20.1
hp1873	1979	2699.4	3503.7	2822.3	2614.3	3804
hp1874	9	14.9	16.7	12.9	13	8.3
hp1875	197.5	381.8	449.1	355.5	377.4	439.2
hp1876	1234.1	2975.4	4161.7	2399.6	3129	4740.8
hp1877	15720.1	15155.4	17093.6	19309.8	14597.6	17384.3
hp1878	1650.1	2384.6	2808.7	3896.6	2052	2292.6
hp1879	2905.3	6237.5	7632.7	6656.9	5421.6	7353.8
hp1880	715.4	1462.8	1779.8	1475.4	1328.4	1753.5
hp1881	3102.5	11309.5	5683.4	4753.3	17550.1	6983.1
hp1882	1197.6	2717	2861.8	2783.2	2269.1	2740.8
hp1883	270.6	539.7	660.7	501.2	582.6	597.4
hp1884	6155.5	13578.3	16915.6	14886.4	12594.8	14750.6
hp1885	1580.2	3328.5	5329.5	4583.3	3081.2	4363.9
hp1886	553.2	516.8	612.8	751.9	525.2	568.1
hp1887	393.9	551.6	706	624	524.5	688.7
hp1888	281.3	704.2	709.9	593.3	661.1	700.3
hp1889	479	1303.4	1711	1283	1282.6	1508.5
hp1890	46174.2	81398.9	75913.9	79890.8	61977.3	87583.4
hp1891	445.1	547.4	799	452.7	471.6	612.3
hp1892	122.2	286.2	315.9	271.5	232.7	342.2
hp1893	588.3	1497.6	1560.8	1415.4	1241.5	1570.1
hp1894	10.5	26.1	31.1	24.1	23	32.5
hp1895	4134.5	14975	20192.1	13802.3	13882.3	18889.9
hp1897	224	770.5	1045	884.7	665.8	854.6
hp1898	443.6	1232	1030	987.7	1178.3	961.5
hp1899	1671.9	3996	4551.3	3886	3396.2	4594.3
hp1900	1423.8	3670.2	4346.2	3485.2	3325.8	4175.8
hp1901	674.6	3148.7	3963.5	3557	2350.3	3391.1
hp1902	249.5	323.2	404.8	373.5	321.3	370.8
hp1903	1336.3	3849.4	4405.9	3681	3287.5	4258.6
hp1904	627.9	1505.5	1738.6	1505.3	1379	1578.6
hp1905	662.8	1464.9	1758.2	1459.3	1332.6	1687.5
hp1906	1282.4	3639.1	3982.8	3223	3117.2	4089.9
hp1907	55.2	106.5	128.5	94.6	120.5	116.2
hp1908	2933	6639.5	8209.8	6836.6	5814.8	8006.1
hp1909	4094.5	8808.7	11665	9621	8274.8	10445.1
hp1910	295.9	670.8	834.1	683.2	629.7	763.3
hp1911	11696.6	29277.1	39530.7	31669	25950.6	36702.4
hp1912	27	53.9	67.7	60.2	46.1	65.6
hp1913	3299.7	9851.9	10589.9	8077.1	8405.7	11598.2
hp1914	35.9	74.9	91.1	59	95.2	83.2
hp1915	1056.8	2576.3	3067	1959.1	3144.8	2840.1
hp1916	604.8	2949	3516.2	3002	2421.6	2890.4
hp1917	43.7	199.2	155.6	115.7	177	185.6
hp1918	2633.6	6854.6	8594.4	7315.6	6231.1	7456.2
hp1919	97.9	253.5	288	254.4	216.9	271
hp1920	83	206.1	277.6	221.3	187.3	252.4
hp1921	36.3	63	86.6	52.7	83.3	81.5
hp1922	288.8	834.8	1017.9	862	662.3	1013.1
