index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1459	21.1	63.6	79.5	50.6	56.3	70.9
hp1460	6.8	77	98.8	15.1	26.9	33.4
hp1461	4	11.3	9.7	7.1	9.2	11.1
hp1462	15.7	19	44.2	21.9	30.2	33
hp1463	5.9	20.6	20.2	37.2	14.4	10.2
hp1464	2.4	23.6	11.7	11.8	10.9	14.5
hp1465	28.9	65.8	111.8	70.3	59	95
hp1468	38.9	57.9	73.7	59	55	68.3
hp1469	2.7	5.3	6.8	3.6	5.5	3.1
hp1471	10.6	35.3	43.5	11	31.1	22.3
hp1472	15.5	40.6	42.7	22	32.5	22.4
hp1474	16.3	58.6	76.6	19.7	51.3	32.9
hp1475	19.7	55.7	104.9	26.5	49	41.5
hp1476	7.7	25.8	30.2	18.7	30.5	20.6
hp1478	15	25.9	38.1	11.9	24.8	29.4
hp1479	2.3	89.5	106.8	14.1	95.6	125.3
hp1480	3.6	8.3	15.6	7	11.9	10.9
hp1481	16.5	65	52.1	35	54.5	56.5
hp1482	10.4	59.7	79.9	32.6	57.9	70.3
hp1483	35.2	150.6	164.5	102.9	121.5	148.7
hp1484	9.7	19.8	29.6	30.4	14.7	21.9
hp1485	16	17.3	24.4	13.7	14.5	24.7
hp1487	36.4	6.1	3.8	7.5	8	5.1
hp1488	12.6	62.5	86.4	16.9	35.2	44.7
hp1489	2.4	8.9	13.8	3.2	6.4	6.2
hp1490	30.7	49.2	39.7	36.9	38.6	54.1
hp1491	5.8	10.5	10.5	6.2	9	8.3
hp1492	25.4	134.9	145.2	82	120.4	118
hp1493	4.9	21.4	31.1	16.1	18	26.2
hp1494	6.6	62.5	152	67.8	50.8	72.4
hp1495	34.3	88.6	125.1	43.2	65.1	74.2
hp1496	12.6	91.5	144.3	54.2	83.7	112.9
hp1497	29.7	39.1	59.9	32.6	34.5	44.9
hp1498	3	76.5	67.3	20.4	54.9	68.6
hp1499	18.8	58.1	80.7	51.9	48.5	67.3
hp1500	4.2	27.3	28.4	12.9	22.3	29.4
hp1501	6.4	16.6	29	16.7	17.1	20.6
